,SOIL_TEX,SoilTypeName,SoilTypeID
0,SILTY LOAM TO SANDY LOAM,Light Sand,0
1,SILTY LOAM TO SILT,Deep Silty,4
2,PEATY CLAY,Peat,6
3,SAND TO SANDY LOAM,Light Sand,0
4,CLAYEY LOAM TO SILTY LOAM,Medium,2
5,CLAY TO LOAM,Medium,2
6,CLAY TO CLAYEY LOAM,Medium,2
7,"CHALKY, SILTY LOAM",Medium,2
8,CLAYEY LOAM TO SANDY LOAM,Deep Clayey,3
9,CHALKY CLAY TO CHALKY LOAM,Deep Clayey,3
10,SILTY LOAM,Deep Silty,4
11,CLAY TO SANDY LOAM,Medium,2
12,LOAM TO CLAY,Deep Clayey,3
13,LOAM TO SILTY LOAM,Deep Silty,4
14,SAND TO LOAM,Light Sand,0
15,SANDY LOAM TO LOAM,Light Sand,0
16,"VARIED, LOCALLY PEATY",Peat,6
17,CLAYEY LOAM,Deep Clayey,3
18,SILT TO SAND,Deep Silty,4
19,"loam to clayey loam, locally chalky",Deep Clayey,3
20,CLAY TO SILT,Medium,2
21,SANDY LOAM TO SILTY LOAM,Deep Silty,4
22,NA,-,-
23,LOAM TO SANDY LOAM,Light Sand,0
24,PEAT,Peat,6
25,LOAM,Medium,2
26,SANDY LOAM,Light Sand,0
27,SANDY LOAM TO SAND,Light Sand,0
28,LOAM TO CLAYEY LOAM,Deep Clayey,3
29,SILT TO SILTY LOAM,Deep Silty,4
30,LOAM TO SILTY,Deep Silty,4
31,SAND,Light Sand,0
32,LOAM TO SANDY,Light Sand,0
33,SAND TO SILT,Deep Silty,4
34,SANDY LOAM TO CLAYEY LOAM,Deep Clayey,3
35,CLAYEY,Deep Clayey,3
36,"CHALKY, SANDY LOAM",Deep Clayey,3
37,PEATY CLAY OR SILT,Peat,6
38,PEATY SILT,Peat,6
39,"CLAYEY LOAM, LOCALLY CHALKY",Deep Clayey,3
40,PEAT AND PEATY CLAY OR SILT,Peat,6
