,0
0,LOAM TO SANDY LOAM
1,CLAYEY LOAM TO SANDY LOAM
2,SAND TO LOAM
3,PEAT
4,SAND TO SANDY LOAM
5,NA
6,LOAM
7,CLAY TO SANDY LOAM
8,SANDY LOAM
9,SANDY LOAM TO SAND
10,"VARIED, LOCALLY PEATY"
11,LOAM TO SILTY LOAM
12,LOAM TO CLAYEY LOAM
13,CLAYEY LOAM TO SILTY LOAM
14,CLAY TO LOAM
15,SILT TO SILTY LOAM
16,LOAM TO CLAY
17,CLAYEY LOAM
18,SILTY LOAM TO SILT
19,SILTY LOAM
20,LOAM TO SILTY
21,SAND
22,SANDY LOAM TO SILTY LOAM
23,CLAY TO CLAYEY LOAM
24,SILT TO SAND
25,SANDY LOAM TO LOAM
26,LOAM TO SANDY
27,SAND TO SILT
28,CLAY TO SILT
29,SILTY LOAM TO SANDY LOAM
30,SANDY LOAM TO CLAYEY LOAM
31,CLAYEY
32,CHALKY CLAY TO CHALKY LOAM
33,"CHALKY, SILTY LOAM"
34,"CHALKY, SANDY LOAM"
35,PEATY CLAY OR SILT
36,PEATY SILT
37,"CLAYEY LOAM, LOCALLY CHALKY"
38,"LOAM TO CLAYEY LOAM, LOCALLY CHALKY"
39,PEATY CLAY
40,PEAT AND PEATY CLAY OR SILT
